id,da aNo ificacao,ocupacaoSuspei oCli,ocupacaoSuspei oU i,ocupacaoConfirmadoCli,ocupacaoConfirmadoU i,ocupacaoCovidU i,ocupacaoCovidCli,ocupacaoHospi alarU i,ocupacaoHospi alarCli,saidaSuspei aObi os,saidaSuspei aAl as,saidaConfirmadaObi os,saidaConfirmadaAl as,origem,es adoNo ificacao,municipioNo ificacao,es ado,municipio,_crea ed_a,_upda ed_a,target
1290627,2022-01-01 03:00:13,0,0,0,0,1,0,4,18,0,0,0,0,parse-cloud,Minas Gerais,Além Paraíba,Minas Gerais,Além Paraíba,2022-01-01 12:29:35.480,2022-01-01 12:29:35.480,0
1290628,2022-01-01 03:00:18,0,0,0,0,2,0,2,0,0,0,0,0,parse-cloud,Bahia,Jequié,Bahia,Jequié,2022-01-01 12:30:32.356,2022-01-01 12:30:32.356,0
1290629,2022-01-01 03:00:21,0,0,0,0,2,2,8,26,0,0,0,0,parse-cloud,Piauí,Oeiras,Piauí,Oeiras,2022-01-01 12:33:36.157,2022-01-01 12:33:36.157,0
1290630,2022-01-01 03:00:42,0,0,0,0,0,0,0,254,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 12:34:43.020,2022-01-01 12:34:43.020,1
1290631,2022-01-01 03:00:10,0,0,0,0,2,9,38,113,0,1,0,0,parse-cloud,San a Ca arina,Joinville,San a Ca arina,Joinville,2022-01-01 12:34:44.377,2022-01-01 12:34:44.377,1
1290632,2022-01-01 03:00:23,0,0,0,0,1,1,17,75,0,1,0,0,parse-cloud,Espíri o San o,Vila Velha,Espíri o San o,Vila Velha,2022-01-01 12:38:39.198,2022-01-01 12:38:39.198,0
1290633,2022-01-01 03:00:39,0,0,0,0,0,1,7,37,0,0,0,0,parse-cloud,Minas Gerais,Mon es Claros,Minas Gerais,Mon es Claros,2022-01-01 12:41:15.041,2022-01-01 12:41:15.041,0
1290635,2022-01-01 03:00:29,0,0,0,0,0,0,0,3,0,0,0,0,parse-cloud,São Paulo,Cajobi,São Paulo,Cajobi,2022-01-01 12:42:42.489,2022-01-01 12:42:42.489,0
1290636,2022-01-01 03:00:06,0,0,0,0,1,0,3,11,0,0,1,0,parse-cloud,São Paulo,Americana,São Paulo,Americana,2022-01-01 12:46:39.231,2022-01-01 12:46:39.231,0
1290637,2022-01-01 03:00:52,0,0,0,0,0,0,0,20,0,0,0,0,parse-cloud,San a Ca arina,Gaspar,San a Ca arina,Gaspar,2022-01-01 12:46:47.975,2022-01-01 12:46:47.975,0
1290640,2022-01-01 03:00:29,0,0,0,0,1,1,8,43,0,0,0,0,parse-cloud,Minas Gerais,São João del Rei,Minas Gerais,São João del Rei,2022-01-01 12:51:30.602,2022-01-01 12:51:30.602,0
1290641,2022-01-01 03:00:08,0,0,0,0,0,0,0,6,0,0,0,0,parse-cloud,Minas Gerais,Al erosa,Minas Gerais,Al erosa,2022-01-01 12:54:05.430,2022-01-01 12:54:05.430,0
